,Unnamed: 0.1,Unnamed: 0,user_id,business_id,text,date,compliment_count,feeling
0,0,137,Up01JEJT09-gYC2QixklZQ,uQWhejZCTCeJheRXOAU8ig,"If you are not a member, you can still sign your child up for swim lessons during the summer",2017-06-28 15:40:13,0,Neutral
1,1,2064,aJhKW-YPN7hjI4QNMgxfvQ,1aj1hnqPt3rqoB8tVRHLEA,Last day of Tales of the Cocktail 2012!,2012-07-29 13:01:58,0,Neutral
2,2,2164,3TeEHdeMOcamovMjZ9d2GA,p6H295aQCbDJ80GcpqFvwA,"Great location, small, but well appointed rooms, lots of ambient noise, good price.",2011-10-18 06:39:46,0,Positive
3,3,3918,G-l9ihg3sRAiGTuZLDmJTQ,sBcKVeZEHiG9JAxCiGvd2g,Check in and check out the swag.,2014-09-20 18:11:42,0,Neutral
4,4,4059,-O_FGGkZEeg509iOZADxDw,o9Gru-QFoxGK26FSWRCLXA,Need to pick up a cool car for the Big Apple weekend trip with the ladies from work.,2012-10-05 14:15:18,0,Positive
5,5,5962,zc7wQeHkJS5tliTg78hjJw,Mb967pEMu4d1iimJhkdtWg,Come out and see the pretty lights,2013-12-09 00:07:42,0,Positive
6,6,6501,q3jnFXllDl92i_acjMmAqg,GNg0V6jRIFwU4JTKc-tppA,"Ok, I'm a culinary snob. But this place does magic with shrimp and canned olives and artichokes. Has a large pour of wine for 4.75 and friendly attentive service.",2012-08-04 01:29:27,0,Positive
7,7,6690,4KaMbMtPOqBQf2uPd_gFJQ,Q_RiHdDrdtWFiVRxO3nOoA,Ask for a room that faces the farm. It's a nice scenic view.,2011-01-01 19:27:40,0,Positive
8,8,6847,nkBpODDjnP-nD9uz1Z4YsA,P-PBH28Ck3jaUY660VTuAw,"Love this lot, but unfortunately the young lady at the gate did not accept my Yelp check-in offer of 1 day free :-(  (spent 5days away)",2017-06-29 14:32:15,0,Negative
9,9,7355,6FasnS3e53f3fW_zwVv-sw,1aj1hnqPt3rqoB8tVRHLEA,To date the best hotel experience in the French Quarter! Love the pillows. They sell them in the gift shop!,2013-09-30 14:17:58,0,Positive
10,10,7555,tfZNGpy7wizyz-CNulrrSA,2o4GOsWEmcdwjgqnEw0w9A,Breathtaking views!,2012-10-14 21:17:30,0,Positive
11,11,7908,PXjeIa7zyu7M2SEczVxAwA,1aj1hnqPt3rqoB8tVRHLEA,If your housekeeper is cleaning your room the  public restrooms are to the left of the check in desk.,2017-03-28 17:24:37,0,Neutral
12,12,12104,RHJTM0hkdnx2fEIUnE9m2w,UjOq8dBVNv9weHrVDqm3kQ,Great location. Quaint hotel. Management very helpful.,2014-06-20 16:43:36,0,Positive
13,13,12841,GJv1yf_IhUZqpDjFr86DmA,yi9udL5fcmBjwcBcygv51Q,"The garage here is awesome. Not terribly expensive, especially compared to lots nearby, and you can walk to everything -- HOB, OEJ, etc.",2010-12-11 04:22:13,0,Positive
14,14,15934,ZM50t-6XKYJft-ScvipZmA,yi9udL5fcmBjwcBcygv51Q,Lady at Saks super friendly and helpful. I love great customer service,2011-10-15 18:17:06,0,Positive
15,15,16197,cMpJ-KeY2l4D7ZiSEk_tjA,DuYEsU_O35JMvLSDTMl_Tw,Clean room and good breakfast,2012-11-18 16:50:20,0,Positive
16,16,18564,w-w-k-QXosIKQ8HQVwU6IQ,wynKaoaiSAxf9zO8dJOVbw,This looks like a newer or at least very recently renovated Courtyard property.,2014-01-18 16:43:07,0,Negative
17,17,21951,CADhesj7J_-U9PKVpPGq4g,Ciqsv4U4zuUnv8lDBPUGjw,Doing some Disney trip business.,2011-12-29 19:30:49,0,Neutral
18,18,21970,y_82J6zWNkz0RoapssrnMA,nhIffYn3kMRlHeClz0az1g,He always beats me to it!,2011-10-25 01:14:26,0,Neutral
19,19,25024,k8y8sNAXTl6XMzg5Qr61rg,NKP_jXl7Gn6hkiR8D206Gw,"Part of the United system. First class is to the left of the ticketing area, economy to the right.",2013-06-26 12:49:00,0,Positive
20,20,25691,aJhKW-YPN7hjI4QNMgxfvQ,1aj1hnqPt3rqoB8tVRHLEA,"Tales of the Cocktail, loading in the Awesome!",2011-07-15 11:26:13,0,Positive
21,21,25951,NLuQR-_NbJhET6ijCxW_nQ,2dPiEMXII3wF4uNCeWDEpg,Pet friendly.,2010-12-11 23:55:59,0,Positive
22,22,26329,64XUYBF1Rpe8ax7M2w9oYQ,kMHZgooGdHN9099Ya0X4vA,Room was filthy and had bedbugs (unfortunately did not figure this out until later). I should have followed my instincts and not stayed here. Stay away!,2017-10-04 03:43:17,0,Negative
23,23,27616,eXNXWpZoOnD_ZstPFpPB2w,bKtYoWxtlHaqP6KN65HWcA,Moms bday dinner,2011-10-07 23:39:33,0,Neutral
24,24,27691,1NOyCzEPeO6D7_2zHztOUQ,O5Qm_-zDQko0UVXH5Noejg,Left my wallet in the cab. Called - said the driver didn't see it. Stole it.,2014-09-11 21:29:15,0,Neutral
25,25,28485,BnBQ0UU9uSiI_0cbCZ4lsw,oVr68YLI0PMSkEc_SHMkFA,Cigar bar/lunch,2011-01-27 17:10:01,0,Neutral
26,26,30578,mk7YUpkF3CZfkYmD_P3PUA,CwpPzFufdnHXxXT3XMJRkw,you need a website with apts number of beds. price ranges etc.,2013-02-07 23:51:30,0,Neutral
27,27,30721,4XIjdvV3bz-e_NYzJRJLHg,2o4GOsWEmcdwjgqnEw0w9A,"Camping is first come first serve. 

$5 day pass to picnic",2014-10-18 22:33:14,0,Positive
28,28,31045,ZoJ6dqkT0rz7JCRUylC39A,hXENwSCtd8pdBrnN8XkXyA,Very comfortable bed,2011-11-18 16:22:30,0,Positive
29,29,31231,bdfDZWqNKEQEYwk4UfwiFA,nhIffYn3kMRlHeClz0az1g,Best way to travel. Get business class,2011-05-05 20:08:01,0,Positive
30,30,31744,A9cXP_K95FRor1qxuUEu2g,T2vdL8Pil8Tzyo4qjbwuDA,"I was in room 115, a wheelchair accessible room. The door is light and the bathroom has a roll-in shower. The only problem is that they didn't leave much room around the bed and my manual wheelchair touches a table every time. The room works fine for a manual chair, but a larger power chair would not fit.",2017-03-23 09:16:12,0,Positive
31,31,31788,ESlbhXivKfrymFf-0saA7w,1aj1hnqPt3rqoB8tVRHLEA,You have to check out the Carousel Bar!,2016-10-13 18:55:05,0,Neutral
32,32,33963,6bfcLLL35DpsxAxxk5ZNAQ,nhIffYn3kMRlHeClz0az1g,Friday train ride. It's getting busy!,2012-10-12 16:26:05,0,Positive
33,33,35050,TBE5aQzxyxfcqGrlnt2FXg,VO368SHTB5QnlLocvU1LEQ,Make sure to have your computer print out for both check in and check out. We made a honest mistake of not having the print out when checking out as this was my first time parking here. I had already given the print out to the lady when I checked in. I was scolded like a 2 year old by the rude lady.,2013-08-19 14:52:49,0,Positive
34,34,36185,V2zP4qBUKkr2Mi73J3Ty5A,Mb967pEMu4d1iimJhkdtWg,Great Easter brunch!,2012-04-08 19:20:45,0,Positive
35,35,38881,-4RbxLJlFZlu-KRuUiiGLw,GNg0V6jRIFwU4JTKc-tppA,"Shirley temples and hot roast beef. Mmmm (oh and I recommend sitting in the bar side, they've got the dead playing tonight on the jukebox)",2011-02-18 01:30:05,0,Positive
36,36,39730,AHiNcn4A870ZKPO0S7oSkw,QM6ydur0eyQxrrUYF__XMQ,Order grub hub if you can't go out for dinner,2018-04-03 10:45:05,0,Neutral
37,37,40174,b8SWcnxNL_czKgvRbzP0Mg,hXENwSCtd8pdBrnN8XkXyA,I am on my third room already and even it has issues. Not moving again. Quite possibly the first and last time here.,2016-05-17 21:07:21,0,Positive
38,38,41114,cMpJ-KeY2l4D7ZiSEk_tjA,1KLs3yA1gIq0Jek-iyPXlA,A little far from park but surrounded by stores and restaurants,2013-06-27 04:14:23,0,Negative
39,39,41630,aiqLKsLs117Ci06JLU4suA,jxbhi7rEQIjh4uSRunZQVA,"Great breakfast, comfy beds and sheets. Free internet! Friendly staff.",2012-03-24 17:01:19,0,Positive
40,40,43176,1VS1FGKEsPTMdO1Rn7QAJw,fqC3Iu46oXYuN-YVpMUg_w,Pretty unhappy so far. Won't be back.,2013-04-08 18:55:09,0,Negative
41,41,44086,rpUOaLv_7QkDeFQSZMZhOg,bKtYoWxtlHaqP6KN65HWcA,Prime Rib & Sushi!!!,2010-09-01 00:40:12,0,Neutral
42,42,44334,ZkUnwVjyjQamIGvLBRKbug,uQWhejZCTCeJheRXOAU8ig,Swim lessons!!!,2014-06-17 00:23:06,0,Neutral
43,43,44373,nT-sNbcZDDo_9cWBPQSMQA,KxxHb9EaLFuk9qy_BAAOcQ,Good security after 11pm....needs key to enter lobby.,2013-12-08 06:43:23,0,Positive
44,44,45076,eTl73yTPz5gMPsRDKslEZA,p6H295aQCbDJ80GcpqFvwA,Internet here is very slow.,2011-04-12 21:57:49,0,Negative
45,45,45092,dWAhMF3PnJe9WiyZY3YnNw,tH10ZuH28GrccqTZ6TTl7A,Taking off!  Super hot here in Tampa!,2012-08-16 20:07:37,0,Positive
46,46,46331,saQQmDQQJ14BVkm_sg53UA,QBiNLoutKIgS6lzGks-50A,Wedding!,2012-06-09 20:34:53,0,Neutral
47,47,49523,rf4CHEQ9R6k1TEgOKkJylQ,RIi9_NoeQ2gjqW_8HW0PYw,Reasonably priced and good breakfasts,2012-03-18 15:42:39,0,Positive
48,48,52377,Z3pSGtoTtF6CXRm2cjHgsw,rZ2Uygsn6vmnUIAaN_DIzQ,The hangers and eggs are killer!,2015-03-22 23:12:59,0,Neutral
49,49,53654,gYGpScV1ePqG9XWjZcE5uA,1aj1hnqPt3rqoB8tVRHLEA,Tales of the cocktail,2012-07-24 23:22:21,0,Neutral
50,50,55364,9usK6SWRyetVl0ovkdupIw,1aj1hnqPt3rqoB8tVRHLEA,Had a great stay here. Easy to get to French quarters and Bourbon street,2015-09-17 21:22:50,0,Positive
51,51,58303,jBL3W-Pb771R0CcZgmwySg,QGTvT3wucl1UKZgxTRGStQ,Love this place and I'm a local,2014-09-18 06:01:36,0,Positive
52,52,58527,Lzyqp-r9-MGlYVSHWBLVqg,_E0WPHfJEYmwOUCAj-Jq1A,Pancho Willies & margaritas are the best!,2011-09-26 02:24:42,0,Positive
53,53,60467,pCpZ6KF0vCOF3fyj9W8iMg,yi9udL5fcmBjwcBcygv51Q,Don't forget to validate your garade parking with a vendor here!,2017-04-01 16:27:04,0,Neutral
54,54,61066,JI6T6niNLWzks55uON1QDg,7sgXMHbn10ddGsww84GGEg,"They have bags that attach to the Segway, so you can bring drinks, or put your purse inside.",2016-02-06 14:24:22,0,Neutral
55,55,61575,XAh8KAJtPqQ_o-Ndb9V_tg,o9Gru-QFoxGK26FSWRCLXA,"The shuttle service from the airport to the rental center is an utter disaster. Their shuttles are the smallest, always full and run infrequently in comparison to all the other rental agencies. I've complained every time.",2017-04-27 20:05:57,0,Negative
56,56,62222,8sW6YwBkyO4LhWvhknmzog,k1EL0UvRYao_La9zdeUfJw,Some rooms have microwaves & mini fridges.  Great gym.  Nice little pool in a quiet area.,2011-04-27 20:09:45,0,Positive
57,57,62396,Lelqm9NlwVuWbJsqkigDhg,VO368SHTB5QnlLocvU1LEQ,"They put your luggage in your car and on the bus, awesome!",2012-09-28 21:41:01,0,Positive
58,58,63060,4bdffuUiz7XRYcqbDO11fQ,Mb967pEMu4d1iimJhkdtWg,"Highlights of the Sun buffet were the meats, salad bar, and amazing beignets!",2012-12-23 18:10:38,1,Positive
59,59,65307,aJhKW-YPN7hjI4QNMgxfvQ,1aj1hnqPt3rqoB8tVRHLEA,Checking in for Tales of the Cocktail!,2012-07-23 14:42:30,0,Neutral
60,60,65478,LahzeRFPyjL0R2oShQAVCQ,8rhUPc37gyqqeCnmRbZx-Q,The sign out front says boldly....WE HAVE WIFI.   Yes they do...for $2.99 a day & its CRAP!   Really?   The housekeeping staff is AMAZING.  u should give them a huge thankyou... the kind ladies & clean rooms make up for bad front desk troll!,2014-05-26 00:17:44,0,Positive
61,61,66229,LtJxmoloS4nMGW9fV2pApw,nhIffYn3kMRlHeClz0az1g,"If you are bringing a bike, make sure to get a reservation for it (it's free) at the ticket window.",2014-06-07 13:38:30,0,Positive
62,62,66849,qQS7enTn8OZb_5IK96-gkw,1aj1hnqPt3rqoB8tVRHLEA,My home for the next five days. :-),2011-09-01 16:24:35,0,Positive
63,63,68563,qlxoI5Mg520e6TIgTQYYfA,yi9udL5fcmBjwcBcygv51Q,Cheapest place to park on the weekends!,2017-12-10 18:36:54,0,Neutral
64,64,68754,wM7G2F5HKi62yvO-HM51zQ,oVr68YLI0PMSkEc_SHMkFA,Merry Christmas Party @ the Ritz,2015-12-24 04:52:15,0,Neutral
65,65,68814,B3wkelZcsk_QmIg17QSKMQ,ps3_Cfg3Rad464aXa71PqA,Slow,2014-06-03 12:42:58,0,Negative
66,66,70907,F5k8L6AjFz7BXntRwSjp5Q,_E0WPHfJEYmwOUCAj-Jq1A,"$20.00, I'm here to double it, or lost it all. Wish me luck, it shouldn't take long.",2011-11-29 05:43:17,0,Negative
67,67,71844,TSVGm-r6ZDREH8dqc6odFQ,2dPiEMXII3wF4uNCeWDEpg,Stayed for NY Eve party overnight. Steak and lobster dinner. Open bar. Ok rooms. Buffet breakfast not good.,2014-01-01 22:45:46,0,Positive
68,68,71954,RwHrhoMD3MGpMvc5Ffd2UQ,p6H295aQCbDJ80GcpqFvwA,Loving it here. Free water bottles and diet coke around the clock!,2012-12-04 15:38:21,0,Positive
69,69,72042,ZdZVNbS0q46yg6LlvsMqKg,1aj1hnqPt3rqoB8tVRHLEA,Come for a drink! Such a beautiful hotel and the bar is fun.,2015-08-12 15:44:17,0,Positive
70,70,73575,CADhesj7J_-U9PKVpPGq4g,Ciqsv4U4zuUnv8lDBPUGjw,Picking up my Disney Trip Materials!!!,2012-03-30 19:01:55,0,Neutral
71,71,74842,a0RJXCuppK9oCKFJx1SHzQ,-VGUpTEsCUE9gJk50gbU6w,Can't wait for the blue chips :) love flying JetBlue,2014-04-18 12:06:47,0,Positive
72,72,75197,adsZLzX2Xmh81ICmyG7wrg,hXENwSCtd8pdBrnN8XkXyA,Rooms need a small mini fridge,2012-12-09 19:35:12,0,Negative
73,73,75302,kx1AyDQfkPHSkPstBQlDzg,bKtYoWxtlHaqP6KN65HWcA,Happy Easter brunch!,2011-04-24 18:14:04,0,Positive
74,74,75326,BLweOY5SS1JyUIc0h5bdXg,lynRxJIurnxYiaM-595Ngw,The prices on Yelp's menu are not correct. Sunday Brunch is Adults: $21 children 6yrs-12yrs: $12 5yrs - complimentary,2015-11-01 16:45:55,1,Positive
75,75,76306,QMvKdCyjwCzqQey1Y32nKQ,1aj1hnqPt3rqoB8tVRHLEA,"Don't skip the pool, unless there is lightening.",2011-07-23 23:45:06,0,Neutral
76,76,80929,On88BBBaHH8JEaKhzUQdgw,FMDe0D6IYvOI7d-Bi9Tvvg,Reports of bed bugs!,2015-10-28 21:04:39,0,Neutral
77,77,81211,W67nXodRWTIa-d1NJlncvA,skWRxQU2LwbYQK0Dl_FqYw,Salseros,2014-12-14 04:14:47,0,Neutral
78,78,81858,5iLTCZo9-YJgdwvk7iM84Q,uQWhejZCTCeJheRXOAU8ig,Let's take advantage of this weather b4 next week gets nasty!!,2014-12-06 18:55:04,0,Negative
79,79,84288,5EIpO_tBUGik_ngK4cWZLA,wynKaoaiSAxf9zO8dJOVbw,Not to shabby.,2013-06-26 18:08:48,0,Neutral
80,80,84885,194MmDTNAdVzxOUJoKna5g,hXENwSCtd8pdBrnN8XkXyA,"Free lessons for kids, open mic in the bar, quartet in the gall.",2013-08-16 14:05:48,0,Positive
81,81,86509,I4eTqRHq93iElqq4f5istw,ZKat6muoCG6GuDjdPEYnsw,"I'm leaving on a jet plane, don't know when I'll be back again.",2017-07-24 15:29:53,0,Neutral
82,82,87419,BnBQ0UU9uSiI_0cbCZ4lsw,oVr68YLI0PMSkEc_SHMkFA,Cobb salad. Outstanding.,2012-02-23 19:12:26,0,Positive
83,83,91793,poIygVhr5Y_IzgPINwnpsA,hmO76DoSlxEUPJ2NN3K9aw,"NEED A RIDE???

Download Lyft and get 20$ towards a ride 

using promo code SHANNON751177

Enjoy!",2015-08-10 20:29:17,0,Positive
84,84,91924,uEgnu3CYMsdo7tEVaqTmvQ,1aj1hnqPt3rqoB8tVRHLEA,Order room service.,2016-03-23 11:16:57,0,Neutral
85,85,92868,-lNvOey9hT33iWa1OcPBpA,PXmjnpt34IsHQQiC5diLTQ,Charges for wifi major points knock,2011-06-19 05:20:44,0,Positive
86,86,92892,nXMMoDzXRByQiWH9cf-FAQ,p6H295aQCbDJ80GcpqFvwA,"Great location, but small rooms.",2012-07-06 01:23:38,0,Positive
87,87,94611,wgykYTghSMc-ogU_uk-Onw,rZ2Uygsn6vmnUIAaN_DIzQ,"Valet park, eat here and get the host to validate your parking!",2016-08-25 01:50:54,0,Neutral
88,88,94686,JiUmz7l4rNz4-YmOj13i9g,1aj1hnqPt3rqoB8tVRHLEA,No free wifi in lobby.,2013-06-21 21:57:15,0,Negative
