name,address,latitude,longitude,category,gmap_id,description,avg_rating,num_of_reviews,price,hours,MISC,state,relative_results,url
Julius Tower,"Julius Tower, 3500 S Las Vegas Blvd, Las Vegas, NV 89109",36.1161371,-115.1756269,Hotel,0x80c8c5be48916e37:0x56087b0b6d03d571,,4.8,6,,,{},,"['0x80c8c43b5e2f690d:0xed2b07c4ba4400dd', '0x80c8c43b2e7a89dd:0x25732030bbfbd35c', '0x80c8c43b403a2b63:0x26a6fb6158fd1ed2', '0x80c8c43b68a34e4f:0x7cdd85fb9866a2db', '0x80c8c43c8886c867:0x2577c7c3fdcb0b4b']",https://www.google.com/maps/place//data=!4m2!3m1!1s0x80c8c5be48916e37:0x56087b0b6d03d571?authuser=-1&hl=en&gl=us
Best Western Plus Casino Royale - On The Strip (No Resort Fees + No Parking Fee),"Best Western Plus Casino Royale - On The Strip (No Resort Fees + No Parking Fee), 3411 S Las Vegas Blvd, Las Vegas, NV 89109",36.1205603,-115.1719731,Hotel,0x80c8c43c32f286af:0x3b3c451e08af21a7,"Understated rooms & suites in a warm hotel with a gym, an outdoor pool & 8 restaurants.",4.7,13,,,{},,"['0x80c8c39f97006e85:0x85e4762a067adde4', '0x80c8c46550a5c2df:0xf2a61a7d363b3d91', '0x80c8c43aaa9a0bb3:0x98b9469bc134713', '0x80c8c40cdc682b99:0x13e0487c787924f4', '0x80c8c476d44caf15:0x6b876068ced54096']",https://www.google.com/maps/place//data=!4m2!3m1!1s0x80c8c43c32f286af:0x3b3c451e08af21a7?authuser=-1&hl=en&gl=us
Alon Las Vegas,"Alon Las Vegas, 10150 Covington Cross Dr, Las Vegas, NV 89144",36.1885611,-115.3154579,"Resort hotel, Hotel",0x80c8bfd96e5bbe3f:0x14f7f720efdce2a3,,4.9,8,,,{},,"['0x80c8c476d58ffffd:0xc7288ed1e6138111', '0x80c8c3a0350b391f:0xd75e1e4834727a44', '0x80c8c5c203b9e1a5:0xdd9f858ce1d9c718']",https://www.google.com/maps/place//data=!4m2!3m1!1s0x80c8bfd96e5bbe3f:0x14f7f720efdce2a3?authuser=-1&hl=en&gl=us
Trendwest Resorts,"Trendwest Resorts, 101 Convention Center Dr, Las Vegas, NV 89109",36.1319092,-115.1602459,Hotel,0x80c8c46c140e9963:0xc9a6b6645fbb7d8b,,4.0,1,,,{},,"['0x80c8c550d312114d:0xf6b762d4dbc8b7b8', '0x80c8c43eb87d90cb:0x12f1055310a27a0']",https://www.google.com/maps/place//data=!4m2!3m1!1s0x80c8c46c140e9963:0xc9a6b6645fbb7d8b?authuser=-1&hl=en&gl=us
Rio Masquerade Tower,"Rio Masquerade Tower, Rio, Las Vegas, NV 89103",36.1164082,-115.1863218,Hotel,0x80c8c544668d8617:0xe909f674e64bce00,,4.0,28,,,{},,"['0x80c8c69155555555:0x10a35f98a74f9a7a', '0x80c8c4273d662419:0x4b55c6c5bb67444b']",https://www.google.com/maps/place//data=!4m2!3m1!1s0x80c8c544668d8617:0xe909f674e64bce00?authuser=-1&hl=en&gl=us
Coloma Cottages,"Coloma Cottages, 5941 New River Rd, Coloma, CA 95613",38.7993522,-120.885765,"Resort hotel, Hotel, Indoor lodging, Inn, Lodge, Motel, Mountain cabin, Rafting, Villa",0x809a55833fbe05ad:0xee6507787fb6a26c,,5.0,48,,,{},,"['0x809a55836b287ba3:0xabc7ef05f2c25caa', '0x809a55820c65eec9:0x59fbc0c6954cebac', '0x809a463eec9ca0ed:0x838a55e1dc2ef756', '0x809affd434eb8593:0xcebe4391de2b5aa0', '0x809ae1b951f45329:0xcb3688cd440aa7d6']",https://www.google.com/maps/place//data=!4m2!3m1!1s0x809a55833fbe05ad:0xee6507787fb6a26c?authuser=-1&hl=en&gl=us
Plaza Hotel,"Plaza Hotel, San Jose, CA 95113",37.3328653,-121.8924141,Hotel,0x808fcca4857141bb:0x8ee693ff85b84051,,5.0,5,,,{},,"['0x808fccba88ad98a9:0x1168b773dd13619', '0x808fccbcfb7e16a1:0x3f313d7fce8ff20d', '0x808fcca3c01b2955:0xd67e7cc20b49a356', '0x808e324524139435:0xd3a9ba52a7b63634']",https://www.google.com/maps/place//data=!4m2!3m1!1s0x808fcca4857141bb:0x8ee693ff85b84051?authuser=-1&hl=en&gl=us
Surf Inn,"Surf Inn, 3619 S El Camino Real, San Clemente, CA 92672",33.3996958,-117.5945876,"Motel, Hotel",0x80dcf500f233cccb:0xe12a905dac8ce56d,,3.6,24,,,{},,"['0x80dcf500f233cccb:0xe12a905dac8ce56d', '0x80dcf455dd53dcfd:0xecb2b6215b641460', '0x80dcf40b804b2b53:0xa1c025feb1e2208', '0x80dcf45ea63b9ec3:0x7443222fc6f26ca5']",https://www.google.com/maps/place//data=!4m2!3m1!1s0x80dcf500f233cccb:0xe12a905dac8ce56d?authuser=-1&hl=en&gl=us
The Crush Pad Vacation Rental,"The Crush Pad Vacation Rental, 7401 Fairplay Rd, Somerset, CA 95684",38.600947,-120.678579,"Vacation home rental agency, Bed & breakfast, Hotel",0x809a429ca4001767:0x2e0b0d0ccce361a6,,5.0,2,,,{},,"['0x809a463eec9ca0ed:0x838a55e1dc2ef756', '0x80903d34b7648d71:0x2f99b42f6afd5543', '0x809ae1b951f45329:0xcb3688cd440aa7d6']",https://www.google.com/maps/place//data=!4m2!3m1!1s0x809a429ca4001767:0x2e0b0d0ccce361a6?authuser=-1&hl=en&gl=us
Solvang Alisal Vacation Cottages,"Solvang Alisal Vacation Cottages, 409 Alisal Rd, Solvang, CA 93463",34.5935233,-120.1393789,Hotel,0x80e954a10debd69d:0xb0cfac4e8d07499f,"Laid-back Craftsman-style cottages featuring porches, BBQ areas & complimentary Wi-Fi.",4.6,8,,,{},,,https://www.google.com/maps/place//data=!4m2!3m1!1s0x80e954a10debd69d:0xb0cfac4e8d07499f?authuser=-1&hl=en&gl=us
